Date,Description,Amount
2024-01-02,Swiggy Food Order,450
2024-01-03,Uber Ride,180
2024-01-05,Amazon Shopping,2300
2024-01-07,Netflix Subscription,649
2024-01-08,Zomato Food Order,380
2024-01-10,BESCOM Electricity Bill,1200
2024-01-12,Swiggy Food Order,520
2024-01-15,Salary Credit,-65000
2024-01-16,Reliance Fresh Groceries,1800
2024-01-18,Uber Ride,220
2024-01-20,Amazon Shopping,4500
2024-01-22,Swiggy Food Order,610
2024-01-25,BookMyShow Movies,800
2024-01-28,Apollo Pharmacy,350
2024-01-30,Airtel Mobile Recharge,599
2024-02-01,Swiggy Food Order,490
2024-02-03,Uber Ride,150
2024-02-05,Amazon Shopping,1800
2024-02-07,Netflix Subscription,649
2024-02-09,Zomato Food Order,420
2024-02-11,BESCOM Electricity Bill,1350
2024-02-13,Swiggy Food Order,580
2024-02-15,Salary Credit,-65000
2024-02-17,Reliance Fresh Groceries,2100
2024-02-19,Uber Ride,310
2024-02-21,Amazon Shopping,8900
2024-02-23,Swiggy Food Order,670
2024-02-26,BookMyShow Movies,600
2024-02-28,Apollo Pharmacy,280
2024-03-01,Airtel Mobile Recharge,599
2024-03-03,Swiggy Food Order,920
2024-03-05,Uber Ride,450
2024-03-07,Amazon Shopping,12000
2024-03-09,Netflix Subscription,649
2024-03-11,Zomato Food Order,380
2024-03-13,BESCOM Electricity Bill,980
2024-03-15,Salary Credit,-65000
2024-03-17,Reliance Fresh Groceries,1950
2024-03-19,Uber Ride,280
2024-03-22,Swiggy Food Order,510
2024-03-25,BookMyShow Movies,1200
2024-03-28,Apollo Pharmacy,450
2024-03-30,Airtel Mobile Recharge,599
